标题,区域,地段,小区,空间,面积,朝向,装修,楼层,建成时间,构筑物,单价每平,总价,关注,距今发布日期
辅仁路，近南坪商圈，精装跃层出售,南岸,南坪,云天锦绣前程,2室1厅,69平米,东 东南,精装,23层,2010年建,板塔结合,"12,754元/平",88,8人关注,21天以前发布
南坪商圈里，住家装修，交通方便，业主诚心出售,南岸,南坪,渝南佳苑,2室1厅,67.67平米,北,精装,19层,2002年建,板塔结合,"12,857元/平",87,11人关注,22天以前发布
南坪 亚太商谷 精装1房 全新装修 设计师设计 拎包入住,南岸,南坪,亚太商谷,1室1厅,38.43平米,南,精装,29层,2008年建,塔楼,"13,740元/平",52.8,17人关注,11天以前发布
上海城 二期正规两房 朝中庭  业主急卖,南岸,南坪,上海城（南岸）,2室2厅,89.29平米,东南,简装,33层,2008年建,板塔结合,"17,360元/平",155,5人关注,14天以前发布
轻轨房 自住精装平层 楼层好 视野开阔！业主诚心卖,南岸,弹子石,东海长洲,2室2厅,76.05平米,南,精装,28层,2008年建,塔楼,"13,018元/平",99,12人关注,30天以前发布
价格合适，位置较好，装修完好。,南岸,六公里,融侨苹果城,3室2厅,84.8平米,东南,精装,29层,2008年建,塔楼,"12,854元/平",109,12人关注,26天以前发布
渝能国际精装三房 交通方便 环境优美,南岸,六公里,渝能国际,3室1厅,98.2平米,南,精装,33层,2007年建,塔楼,"12,730元/平",125,6人关注,28天以前发布
四公里城南新居 住家正规两房 业主诚心卖，方便看房！,南岸,四公里,城南新居,2室1厅,69.18平米,东南,精装,18层,2007年建,塔楼,"10,842元/平",75,5人关注,13天以前发布
轻轨旁 精装跃层两房装修保持很好 业主安心卖,南岸,六公里,万友七季城B区,2室1厅,57.37平米,南,精装,34层,2011年建,塔楼,"14,817元/平",85,2人关注,10天以前发布
户型方正。楼层好。采光好， 正规三房。,南岸,茶园新区,融创铂爵郡,3室1厅,90.88平米,西,毛坯,33层,2018年建,塔楼,"12,985元/平",118,33人关注,6个月以前发布
中铁品质，精装洋房，全新精装，板式结构，交通便利,南岸,茶园新区,万国城68号,3室2厅,97.37平米,南,精装,7层,2018年建,板楼,"17,254元/平",168,4人关注,4个月以前发布
碧桂园东原合能千屿一期 4室2厅 东南,南岸,茶园新区,碧桂园东原合能千屿一期,4室2厅,119.13平米,东南,毛坯,8层,,板塔结合,"13,179元/平",157,9人关注,4个月以前发布
此房为精装三房，户型方正采光好出行方便。,南岸,茶园新区,长河湾,3室2厅,80.77平米,东,精装,33层,2014年建,板塔结合,"11,118元/平",89.8,3人关注,14天以前发布
此房满2年，业主诚心出售，小区环境好，精装修3房,南岸,茶园新区,中铁北美时光,3室1厅,83.81平米,南,精装,高楼层(共17层),2014年建,塔楼,"13,364元/平",112,19人关注,2个月以前发布
奥园品质清水三房，适合刚需人群，环境优雅，交通便捷,南岸,茶园新区,奥园越时代C区,3室2厅,81.1平米,东南,毛坯,11层,,塔楼,"14,304元/平",116,20人关注,3个月以前发布
满两年，精装修，视野佳，不要错过,南岸,茶园新区,同景国际城W组团,3室2厅,51.73平米,东,精装,18层,2012年建,塔楼,"16,045元/平",83,45人关注,一年前发布
刘家坪轻轨站旁，融创品质大洋房，小区环境好,南岸,茶园新区,融创江南融府,4室2厅,137.28平米,东北,毛坯,中楼层(共8层),,板楼,"13,477元/平",185,4人关注,1个月以前发布
古楼四村 低楼层楼梯房 业主降价诚心出售,南岸,南坪,古楼四村,1室1厅,51.21平米,南,简装,8层,1999年建,板楼,"7,782元/平",39.85,3人关注,15天以前发布
业主诚心出售.近轻轨。近商圈.....,南岸,南坪,亚太商谷,1室0厅,28.65平米,东,简装,30层,2008年建,塔楼,"12,217元/平",35,13人关注,9天以前发布
精装修保利跃层，业主诚心出售，价格可以谈,南岸,七公里,保利观塘,2室1厅,72.94平米,南,精装,32层,2016年建,板塔结合,"18,372元/平",134,3人关注,9天以前发布
价格便宜，低于同小区的市场价，标准3房，看房方便,南岸,南坪,四海花园,3室2厅,109.71平米,西北,毛坯,低楼层(共9层),,板楼,"6,928元/平",76,1人关注,13天以前发布
保利央企大盘，次新盘，正规三房 诚心出售。,南岸,七公里,保利观塘香榭,3室2厅,98.14平米,南,毛坯,33层,,板塔结合,"15,590元/平",153,4人关注,13天以前发布
南岸弹子石 近轻轨 精装修一居室,南岸,弹子石,莫比时代,1室1厅,51.29平米,西南,精装,32层,2009年建,塔楼,"14,038元/平",72,108人关注,5个月以前发布
新上房源，精装修，拎包入住，房间宽敞采光好,南岸,四公里,巨成龙湾,3室2厅,108.7平米,南,精装,34层,2009年建,塔楼,"12,512元/平",136,35人关注,4个月以前发布
正规大两室两厅，住家安静，看房方便,南岸,融侨半岛,融侨半岛云满庭D区,2室2厅,89.62平米,南,简装,33层,2006年建,板塔结合,"11,493元/平",103,21人关注,5个月以前发布
区府旁 住家2房 9.9成新 家电齐全  交通便利 随时看房,南岸,茶园新区,银翔翡翠谷B区,2室1厅,69.13平米,南,精装,27层,2017年建,板塔结合,"14,177元/平",98,3人关注,1个月以前发布
业主诚心卖，出行方便，生活配套成熟,南岸,四公里,新民小区,1室1厅,43.74平米,南,简装,7层,2000年建,塔楼,"8,345元/平",36.5,11人关注,6个月以前发布
近轻轨 住家安静 大阳台 出行方便 居住舒心,南岸,丹龙路,城市江山,4室2厅,157.77平米,南,精装,17层,2005年建,板塔结合,"9,888元/平",156,11人关注,2个月以前发布
房子是次新小区、保利跃层户型，近轻轨，出行方便,南岸,八公里,保利林语溪,3室2厅,105.16平米,南,毛坯,中楼层(共18层),2015年建,塔楼,"12,933元/平",136,170人关注,9个月以前发布
龙湖精装大户型，品质小区。。。。,南岸,融侨半岛,龙湖观山水,3室2厅,124.98平米,西 西北,精装,18层,2007年建,塔楼,"13,043元/平",163,11人关注,6个月以前发布
卖一套少一套端户，使用面积大，采光好，随时看房,南岸,丹龙路,骏逸第一江岸,2室1厅,86.8平米,东北,精装,18层,2011年建,板塔结合,"11,521元/平",100,46人关注,3个月以前发布
视野开阔，采光充足，配套设施齐全，装修保持好。,南岸,六公里,美堤雅城B区,2室1厅,95.5平米,西南,精装,18层,2005年建,塔楼,"11,414元/平",109,9人关注,4个月以前发布
南岸区政府+精装两房+拎包入住+业主诚心卖,南岸,茶园新区,银翔翡翠谷B区,2室2厅,69.14平米,东南 南,精装,27层,2014年建,板塔结合,"13,307元/平",92,6人关注,1个月以前发布
带露台，华城国际精装修2房，户型方正，业主诚心出售,南岸,四公里,华城国际,2室1厅,72.17平米,南,精装,33层,2011年建,板塔结合,"12,471元/平",90,16人关注,3个月以前发布
融创品质物业，别墅中的环境，临文德，临公交,南岸,茶园新区,融创伊顿濠庭,2室1厅,38.89平米,南,精装,11层,2016年建,塔楼,"11,572元/平",45,18人关注,1个月以前发布
蓝光COCO纯毛坯3房，清水的，低总价,南岸,弹子石,蓝光COCO时代三期,3室1厅,51.24平米,南,毛坯,28层,2015年建,板塔结合,"17,955元/平",92,36人关注,一年前发布
南坪 智汇江南  精装 邻轻轨 近万达 朝中庭 拎包入住,南岸,南坪,智汇江南,2室1厅,66.48平米,东北,精装,34层,2012年建,塔楼,"13,238元/平",88,67人关注,6个月以前发布
骑龙山庄+清水三房+证在手+安心出售,南岸,南坪,骑龙山庄(南岸),3室2厅,128.77平米,南,毛坯,12层,2004年建,板塔结合,"10,717元/平",138,7人关注,3个月以前发布
全实木家具！居家安逸！物业强力！,南岸,南坪,东原锦悦,1室1厅,43.24平米,东 东南,精装,35层,2011年建,塔楼,"18,271元/平",79,2人关注,3个月以前发布
和泓南山道一期 3室1厅 东,南岸,南滨路,和泓南山道一期,3室1厅,91.27平米,东,精装,33层,2011年建,板塔结合,"14,463元/平",132,22人关注,1个月以前发布
南坪商圈 交通便利 精装修 安心出售,南岸,南坪,阳光小筑,1室1厅,43.88平米,东南,精装,33层,,塔楼,"13,446元/平",59,23人关注,1个月以前发布
和记黄埔御峰 清水正规三房 次新房,南岸,南坪,和记黄埔御峰,3室2厅,107平米,南 北,毛坯,中楼层(共34层),2017年建,塔楼,"14,019元/平",150,221人关注,7个月以前发布
区域地段好，离轻轨近，星泽汇商圈 近在咫尺,南岸,弹子石,雅云苑,2室1厅,55.83平米,南,精装,18层,2006年建,塔楼,"14,688元/平",82,60人关注,2个月以前发布
"交通方便 户型方便 满五,小区位置好",南岸,茶园新区,琥珀居,1室1厅,52.09平米,南,简装,12层,,塔楼,"10,175元/平",53,3人关注,1个月以前发布
近轻轨，两江交汇，正看来福士夜景。,南岸,南滨路,阳光100国际新城,3室2厅,136.23平米,西北,毛坯,32层,2009年建,板塔结合,"11,378元/平",155,17人关注,6个月以前发布
六公里轻轨站旁  优质跃层两房  楼层采光好  拎包入住,南岸,六公里,万友七季城B区,2室1厅,57.26平米,东,精装,34层,2011年建,塔楼,"13,972元/平",80,27人关注,7个月以前发布
六公里轻轨站旁   正两房  住家装修  拎包入住  诚售,南岸,六公里,万友七季城C区,2室1厅,77.46平米,北 东北,精装,33层,2012年建,塔楼,"13,685元/平",106,16人关注,1个月以前发布
弹子石 南滨路 住家精装修住家一室一厅改两房,南岸,弹子石,美心江与江南,2室2厅,59.73平米,东南,精装,12层,2017年建,板楼,"14,566元/平",87,18人关注,1个月以前发布
精装修带家具家电轻轨及枢纽东站奥园东南医院配套完善,南岸,茶园新区,长桥左岸,2室2厅,68.98平米,南,精装,12层,2014年建,塔楼,"14,352元/平",99,9人关注,1个月以前发布
协信城正规两房 出门万达广场轻轨,南岸,南坪,协信城,2室1厅,57.27平米,南,精装,32层,2012年建,塔楼,"16,239元/平",93,13人关注,2个月以前发布
此房满两年，朝小区中庭，楼层好视野好,南岸,六公里,美堤雅城A区,3室2厅,140.16平米,南,精装,17层,2003年建,塔楼,"10,703元/平",150,7人关注,9个月以前发布
南坪商圈 交通便利 精装修 安心出售,南岸,南坪,阳光小筑,1室1厅,43.88平米,东南,精装,33层,,塔楼,"13,446元/平",59,23人关注,1个月以前发布
近轻轨，两江交汇，正看来福士夜景。,南岸,南滨路,阳光100国际新城,3室2厅,136.23平米,西北,毛坯,32层,2009年建,板塔结合,"11,378元/平",155,17人关注,6个月以前发布
和记黄埔御峰 清水正规三房 次新房,南岸,南坪,和记黄埔御峰,3室2厅,107平米,南 北,毛坯,中楼层(共34层),2017年建,塔楼,"14,019元/平",150,221人关注,7个月以前发布
区域地段好，离轻轨近，星泽汇商圈 近在咫尺,南岸,弹子石,雅云苑,2室1厅,55.83平米,南,精装,18层,2006年建,塔楼,"14,688元/平",82,60人关注,2个月以前发布
南湖轻轨旁 此房户型方正，业主诚心出售,南岸,四公里,金阳罗马假日,2室1厅,73.08平米,东南,精装,34层,2007年建,塔楼,"13,410元/平",98,0人关注,1个月以前发布
南滨路精装三房，满五唯一，现去外地忍痛割爱诚心售房,南岸,南滨路,阳光100国际新城,3室2厅,106.17平米,南,精装,29层,2007年建,板塔结合,"11,397元/平",121,63人关注,一年前发布
四公里商圈地段，朝中庭 视野采光良好,南岸,四公里,骏逸蓝山,2室1厅,80.36平米,东南,精装,32层,2008年建,板塔结合,"14,684元/平",118,14人关注,3个月以前发布
南坪亚太近工贸站800米 可做饭 大户型精装房,南岸,南坪,亚太商谷,1室1厅,56.75平米,东南 南,精装,27层,2008年建,塔楼,"11,278元/平",64,90人关注,5个月以前发布
住家精装修+轻轨房+视野开阔明朗+领包入住,南岸,四公里,云天城市星空,2室2厅,84.92平米,西北,精装,28层,2009年建,板塔结合,"11,305元/平",96,4人关注,1个月以前发布
南坪商圈，东原锦悦，两房出售。,南岸,南坪,东原锦悦,2室1厅,42.46平米,东南 东,精装,31层,2011年建,塔楼,"18,277元/平",77.6,8人关注,2个月以前发布
住家装修 -采光视野好 单价便宜 商圈三房双卫,南岸,南坪,南城丽居,3室2厅,97.76平米,南,精装,18层,,板塔结合,"11,048元/平",108,18人关注,6个月以前发布
正规大两房 业主诚心出售 精装 住家安静,南岸,四公里,骏逸蓝山,2室2厅,81.63平米,东南,精装,18层,2007年建,板塔结合,"14,578元/平",119,42人关注,8个月以前发布
南坪商圈 正规一房 交通便利 户型方正 诚心出售,南岸,南坪,洋河南滨花园,1室1厅,46.19平米,南,简装,33层,2007年建,塔楼,"11,042元/平",51,91人关注,1个月以前发布
刘家坪小两房，住家精装修，拧包入住，永辉,南岸,茶园新区,奥园越时代A区,2室1厅,53.74平米,东,精装,16层,,板楼,"15,259元/平",82,23人关注,1个月以前发布
南坪商圈，离轻轨近，业主诚心出售，户型方正。,南岸,南坪,天龙城市花园三期,2室2厅,85.47平米,南,简装,低楼层(共33层),2006年建,塔楼,"10,531元/平",90,3人关注,1个月以前发布
正规2房电梯房，中间楼层视野开阔，业主急卖,南岸,茶园新区,翔锦花园,2室2厅,76.01平米,南,精装,11层,2010年建,塔楼,"9,210元/平",70,8人关注,3个月以前发布
南坪环线南湖站旁，正规两房带阳台，居家装修，诚..,南岸,四公里,翠堤春晓,2室1厅,79.75平米,东南,简装,23层,2007年建,板塔结合,"11,035元/平",88,16人关注,1个月以前发布
南坪商圈 配套齐全 出行方便   位置好,南岸,南坪,南坪正街,2室1厅,68.86平米,南,简装,15层,,暂无数据,"6,535元/平",45,21人关注,1个月以前发布
南坪商圈3房，双大阳台，近轻轨，业主诚心，价格可谈,南岸,南坪,明发尚都国际,3室2厅,97.63平米,南,毛坯,29层,2009年建,塔楼,"13,521元/平",132,3人关注,2个月以前发布
万科精装三房，中间楼层，业主诚心出售！,南岸,七公里,万科金域学府,3室1厅,85.73平米,东南,精装,高楼层(共32层),,塔楼,"16,331元/平",140,16人关注,2个月以前发布
万达商圈旁 渝能都市经典 一室一厅 近轻轨 诚心出售,南岸,南坪,渝能都市经典,1室1厅,54.43平米,东南,简装,22层,2005年建,塔楼,"11,575元/平",63,19人关注,5个月以前发布
精装跃层三房 户型方正 采光充足 拎包入住 业主诚心,南岸,茶园新区,恒大同景国际O组团,3室2厅,74.32平米,东,精装,11层,2012年建,塔楼,"13,456元/平",100,14人关注,5个月以前发布
香弥山2号  一线江景  精装2室,南岸,融侨半岛,融侨半岛香弥山2号,2室1厅,56.6平米,东南,精装,36层,2009年建,板塔结合,"14,488元/平",82,83人关注,2个月以前发布
长生桥轻轨旁精装电梯两房  产权清晰   急售 急售,南岸,茶园新区,财盛金悦苑,2室2厅,74.13平米,西北,精装,9层,2015年建,板塔结合,"10,253元/平",76,84人关注,2个月以前发布
方便老人的小区，清净，环境好。,南岸,茶园新区,光华安纳溪湖观澜,2室1厅,84.69平米,东南,精装,19层,2017年建,塔楼,"11,808元/平",100,37人关注,10个月以前发布
